SN,CAS Number,Chemical Name,Chemical Grade,Chemical Analysis,Chemical Purity,Species Scientific Name,Species Common Name,Species Group,Organism Lifestage,Organism Age,Age Units,Exposure Type,Media Type,Test Location,Number of Doses,Conc 1 Type (Standardized),Conc 1 Mean Op (Standardized),Conc 1 Mean (Standardized),Conc 1 Min Op (Standardized),Conc Min 1 (Standardized),Conc 1 Max Op (Standardized),Conc 1 Max (Standardized),Conc 1 Units (Standardized),Effect,Effect Measurement,Endpoint,Response Site,Observed Duration (Days),Observed Duration Units (Days),BCF 1 Value Op,BCF 1 Value,BCF 1 Min Op,BCF 1 Min,BCF 1 Max Op,BCF 1 Max,BCF 1 Unit,BCF 2 Value Op,BCF 2 Value,BCF 2 Min Op,BCF 2 Min,BCF 2 Max Op,BCF 2 Max,BCF 2 Unit,BCF 3 Value Op,BCF 3 Value,BCF 3 Min Op,BCF 3 Min,BCF 3 Max Op,BCF 3 Max,BCF 3 Unit,Author,Reference Number,Title,Source,Publication Year,Summary of Additional Parameters
SN1835,27854315,"3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,10-Heptadecafluorodecanoic acid",,Measured,>98,Chironomus tentans,Midge,Insects/Spiders,Larva,10,Day(s),Renewal,Fresh water,Lab,13,Active ingredient,,5.7,,3.68,,7.63,AI mg/L,Mortality,Mortality,LC25,,10,Day(s),,,,,,,--,,,,,,,,,,,,,,,"Phillips,M.M., M.J. Dinglasan-Panlilio, S.A. Mabury, K.R. Solomon, and P.K. Sibley",110323,Fluorotelomer Acids are more Toxic than Perfluorinated Acids,Environ. Sci. Technol.41(20): 7159-7163,2007,Purity:  NR - NR | Organism Age:  NR - NR Day(s) | Duration (Days):  NR - NR Day(s) | Conc 2 (Standardized):  NR (NR - NR) NR | Conc 3 (Standardized):  NR (NR - NR) NR
SN1836,27854315,"3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,10-Heptadecafluorodecanoic acid",,Measured,>98,Chironomus tentans,Midge,Insects/Spiders,"New, newly or recent hatch",NR,,Renewal,Fresh water,Lab,8,Active ingredient,,1.76,,,,,AI mg/L,Mortality,Survival,LC25,,20,Day(s),,,,,,,--,,,,,,,,,,,,,,,"MacDonald,M.M.",178465,Fluorotelomer Acid Toxicity to Aquatic Organisms,"M.S.Thesis, University of Guelph, Canada:151 p.",2006,Purity:  NR - NR | Organism Age:  NR - NR NR | Duration (Days):  NR - NR Day(s) | Conc 2 (Standardized):  NR (NR - NR) NR | Conc 3 (Standardized):  NR (NR - NR) NR
SN1837,27854315,"3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,10-Heptadecafluorodecanoic acid",,Measured,>98,Chironomus dilutus,Midge,Insects/Spiders,Egg,NR,,Renewal,Fresh water,Lab,8,Active ingredient,,2.61,,,,,AI mg/L,Mortality,Mortality,LC50,,20,Day(s),,,,,,,--,,,,,,,,,,,,,,,"Phillips,M.M., M.J.A. Dinglasan-Panlilio, S.A. Mabury, K.R. Solomon, and P.K. Sibley",184330,Chronic Toxicity of Fluorotelomer Acids to Daphnia magna and Chironomus dilutus,Environ. Toxicol. Chem.29:1123-1131,2010,Purity:  NR - NR | Organism Age:  NR - NR NR | Duration (Days):  NR - NR Day(s) | Conc 2 (Standardized):  NR (NR - NR) NR | Conc 3 (Standardized):  NR (NR - NR) NR
SN1838,27854315,"3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,10-Heptadecafluorodecanoic acid",,Measured,>98,Chironomus dilutus,Midge,Insects/Spiders,Egg,NR,,Renewal,Fresh water,Lab,8,Active ingredient,,2.15,,1.78,,2.58,AI mg/L,Mortality,Mortality,LC50,,20,Day(s),,,,,,,--,,,,,,,,,,,,,,,"Phillips,M.M., M.J.A. Dinglasan-Panlilio, S.A. Mabury, K.R. Solomon, and P.K. Sibley",184330,Chronic Toxicity of Fluorotelomer Acids to Daphnia magna and Chironomus dilutus,Environ. Toxicol. Chem.29:1123-1131,2010,Purity:  NR - NR | Organism Age:  NR - NR NR | Duration (Days):  NR - NR Day(s) | Conc 2 (Standardized):  NR (NR - NR) NR | Conc 3 (Standardized):  NR (NR - NR) NR
SN1839,27854315,"3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,10-Heptadecafluorodecanoic acid",,Measured,>98,Chironomus tentans,Midge,Insects/Spiders,Larva,10,Day(s),Renewal,Fresh water,Lab,13,Active ingredient,,12.42,,9.56,,15.75,AI mg/L,Mortality,Mortality,LC50,,10,Day(s),,,,,,,--,,,,,,,,,,,,,,,"Phillips,M.M., M.J. Dinglasan-Panlilio, S.A. Mabury, K.R. Solomon, and P.K. Sibley",110323,Fluorotelomer Acids are more Toxic than Perfluorinated Acids,Environ. Sci. Technol.41(20): 7159-7163,2007,Purity:  NR - NR | Organism Age:  NR - NR Day(s) | Duration (Days):  NR - NR Day(s) | Conc 2 (Standardized):  NR (NR - NR) NR | Conc 3 (Standardized):  NR (NR - NR) NR
SN1840,27854315,"3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,10-Heptadecafluorodecanoic acid",,Measured,>98,Chironomus tentans,Midge,Insects/Spiders,"New, newly or recent hatch",NR,,Renewal,Fresh water,Lab,8,Active ingredient,,2.61,,,,,AI mg/L,Mortality,Survival,LC50,,20,Day(s),,,,,,,--,,,,,,,,,,,,,,,"MacDonald,M.M.",178465,Fluorotelomer Acid Toxicity to Aquatic Organisms,"M.S.Thesis, University of Guelph, Canada:151 p.",2006,Purity:  NR - NR | Organism Age:  NR - NR NR | Duration (Days):  NR - NR Day(s) | Conc 2 (Standardized):  NR (NR - NR) NR | Conc 3 (Standardized):  NR (NR - NR) NR
SN1841,28016015,Tetrafluorobenzene,,Unmeasured,NR,Biomphalaria glabrata,Snail,Molluscs,Adult,NR,,Static,Fresh water,Lab,,Formulation,>,10,,,,,AI mg/L,Mortality,Mortality,LC50,,1,Day(s),,,,,,,--,,,,,,,,,,,,,,,"Duncan,J., and J.W. Pavlik",9662,Effects of Structural Rearrangement on the Molluscicidal Activity of Certain Fluorinated Aromatic Compounds,Bull. W. H. O.42(5): 820-825,1970,Purity:  NR - NR | Organism Age:  NR - NR NR | Duration (Days):  NR - NR Day(s) | Conc 2 (Standardized):  NR (NR - NR) NR | Conc 3 (Standardized):  NR (NR - NR) NR
SN1842,28041614,Bromotetrafluorophenol,,Unmeasured,NR,Biomphalaria glabrata,Snail,Molluscs,Adult,NR,,Static,Fresh water,Lab,,Formulation,,,,1,,2,AI mg/L,Mortality,Mortality,LC50,,1,Day(s),,,,,,,--,,,,,,,,,,,,,,,"Duncan,J., and J.W. Pavlik",9662,Effects of Structural Rearrangement on the Molluscicidal Activity of Certain Fluorinated Aromatic Compounds,Bull. W. H. O.42(5): 820-825,1970,Purity:  NR - NR | Organism Age:  NR - NR NR | Duration (Days):  NR - NR Day(s) | Conc 2 (Standardized):  NR (NR - NR) NR | Conc 3 (Standardized):  NR (NR - NR) NR
SN1843,28041614,Bromotetrafluorophenol,,Unmeasured,NR,Biomphalaria glabrata,Snail,Molluscs,Adult,NR,,Static,Fresh water,Lab,,Formulation,,,,10,,20,AI mg/L,Mortality,Mortality,LC50,,1,Day(s),,,,,,,--,,,,,,,,,,,,,,,"Duncan,J., and J.W. Pavlik",9662,Effects of Structural Rearrangement on the Molluscicidal Activity of Certain Fluorinated Aromatic Compounds,Bull. W. H. O.42(5): 820-825,1970,Purity:  NR - NR | Organism Age:  NR - NR NR | Duration (Days):  NR - NR Day(s) | Conc 2 (Standardized):  NR (NR - NR) NR | Conc 3 (Standardized):  NR (NR - NR) NR
SN1844,28041625,Iodotetrafluorophenol,,Unmeasured,NR,Biomphalaria glabrata,Snail,Molluscs,Adult,NR,,Static,Fresh water,Lab,,Formulation,,,,1,,2,AI mg/L,Mortality,Mortality,LC50,,1,Day(s),,,,,,,--,,,,,,,,,,,,,,,"Duncan,J., and J.W. Pavlik",9662,Effects of Structural Rearrangement on the Molluscicidal Activity of Certain Fluorinated Aromatic Compounds,Bull. W. H. O.42(5): 820-825,1970,Purity:  NR - NR | Organism Age:  NR - NR NR | Duration (Days):  NR - NR Day(s) | Conc 2 (Standardized):  NR (NR - NR) NR | Conc 3 (Standardized):  NR (NR - NR) NR
SN1845,28041625,Iodotetrafluorophenol,,Unmeasured,NR,Biomphalaria glabrata,Snail,Molluscs,Adult,NR,,Static,Fresh water,Lab,,Formulation,>,20,,,,,AI mg/L,Mortality,Mortality,LC50,,1,Day(s),,,,,,,--,,,,,,,,,,,,,,,"Duncan,J., and J.W. Pavlik",9662,Effects of Structural Rearrangement on the Molluscicidal Activity of Certain Fluorinated Aromatic Compounds,Bull. W. H. O.42(5): 820-825,1970,Purity:  NR - NR | Organism Age:  NR - NR NR | Duration (Days):  NR - NR Day(s) | Conc 2 (Standardized):  NR (NR - NR) NR | Conc 3 (Standardized):  NR (NR - NR) NR
SN1846,28442275,"4,4'-Diiodo-octafluorobiphenyl",,Unmeasured,NR,Biomphalaria glabrata,Snail,Molluscs,Adult,NR,,Static,Fresh water,Lab,,Formulation,,,,0.5,,1,AI mg/L,Mortality,Mortality,LC50,,1,Day(s),,,,,,,--,,,,,,,,,,,,,,,"Duncan,J., and J.W. Pavlik",9662,Effects of Structural Rearrangement on the Molluscicidal Activity of Certain Fluorinated Aromatic Compounds,Bull. W. H. O.42(5): 820-825,1970,Purity:  NR - NR | Organism Age:  NR - NR NR | Duration (Days):  NR - NR Day(s) | Conc 2 (Standardized):  NR (NR - NR) NR | Conc 3 (Standardized):  NR (NR - NR) NR
SN1847,28442275,"4,4'-Diiodo-octafluorobiphenyl",,Unmeasured,NR,Biomphalaria glabrata,Snail,Molluscs,Adult,NR,,Static,Fresh water,Lab,,Formulation,,1,,,,,AI mg/L,Mortality,Mortality,LC50,,1,Day(s),,,,,,,--,,,,,,,,,,,,,,,"Duncan,J., and J.W. Pavlik",9662,Effects of Structural Rearrangement on the Molluscicidal Activity of Certain Fluorinated Aromatic Compounds,Bull. W. H. O.42(5): 820-825,1970,Purity:  NR - NR | Organism Age:  NR - NR NR | Duration (Days):  NR - NR Day(s) | Conc 2 (Standardized):  NR (NR - NR) NR | Conc 3 (Standardized):  NR (NR - NR) NR
SN1848,28442275,"4,4'-Diiodo-octafluorobiphenyl",,Unmeasured,NR,Biomphalaria glabrata,Snail,Molluscs,Adult,NR,,Static,Fresh water,Lab,,Formulation,,,,1,,2,AI mg/L,Mortality,Mortality,LC50,,1,Day(s),,,,,,,--,,,,,,,,,,,,,,,"Duncan,J., and J.W. Pavlik",9662,Effects of Structural Rearrangement on the Molluscicidal Activity of Certain Fluorinated Aromatic Compounds,Bull. W. H. O.42(5): 820-825,1970,Purity:  NR - NR | Organism Age:  NR - NR NR | Duration (Days):  NR - NR Day(s) | Conc 2 (Standardized):  NR (NR - NR) NR | Conc 3 (Standardized):  NR (NR - NR) NR
SN1849,28442300,"4,4'-Dicyano-octafluorobiphenyl",,Unmeasured,NR,Biomphalaria glabrata,Snail,Molluscs,Adult,NR,,Static,Fresh water,Lab,,Formulation,,,,1,,2,AI mg/L,Mortality,Mortality,LC50,,1,Day(s),,,,,,,--,,,,,,,,,,,,,,,"Duncan,J., and J.W. Pavlik",9662,Effects of Structural Rearrangement on the Molluscicidal Activity of Certain Fluorinated Aromatic Compounds,Bull. W. H. O.42(5): 820-825,1970,Purity:  NR - NR | Organism Age:  NR - NR NR | Duration (Days):  NR - NR Day(s) | Conc 2 (Standardized):  NR (NR - NR) NR | Conc 3 (Standardized):  NR (NR - NR) NR
SN1850,28442300,"4,4'-Dicyano-octafluorobiphenyl",,Unmeasured,NR,Biomphalaria glabrata,Snail,Molluscs,Adult,NR,,Static,Fresh water,Lab,,Formulation,,1.4,,,,,AI mg/L,Mortality,Mortality,LC50,,1,Day(s),,,,,,,--,,,,,,,,,,,,,,,"Duncan,J., and J.W. Pavlik",9662,Effects of Structural Rearrangement on the Molluscicidal Activity of Certain Fluorinated Aromatic Compounds,Bull. W. H. O.42(5): 820-825,1970,Purity:  NR - NR | Organism Age:  NR - NR NR | Duration (Days):  NR - NR Day(s) | Conc 2 (Standardized):  NR (NR - NR) NR | Conc 3 (Standardized):  NR (NR - NR) NR
SN1851,28442300,"4,4'-Dicyano-octafluorobiphenyl",,Unmeasured,NR,Biomphalaria glabrata,Snail,Molluscs,Adult,NR,,Static,Fresh water,Lab,,Formulation,,,,1,,2,AI mg/L,Mortality,Mortality,LC50,,1,Day(s),,,,,,,--,,,,,,,,,,,,,,,"Duncan,J., and J.W. Pavlik",9662,Effects of Structural Rearrangement on the Molluscicidal Activity of Certain Fluorinated Aromatic Compounds,Bull. W. H. O.42(5): 820-825,1970,Purity:  NR - NR | Organism Age:  NR - NR NR | Duration (Days):  NR - NR Day(s) | Conc 2 (Standardized):  NR (NR - NR) NR | Conc 3 (Standardized):  NR (NR - NR) NR
SN1852,28520185,"2,3,4,5,6-Pentafluorobenzeneacetaldehyde",,Unmeasured,NR,Biomphalaria glabrata,Snail,Molluscs,Adult,NR,,Static,Fresh water,Lab,,Formulation,>,20,,,,,AI mg/L,Mortality,Mortality,LC50,,1,Day(s),,,,,,,--,,,,,,,,,,,,,,,"Duncan,J., and J.W. Pavlik",9662,Effects of Structural Rearrangement on the Molluscicidal Activity of Certain Fluorinated Aromatic Compounds,Bull. W. H. O.42(5): 820-825,1970,Purity:  NR - NR | Organism Age:  NR - NR NR | Duration (Days):  NR - NR Day(s) | Conc 2 (Standardized):  NR (NR - NR) NR | Conc 3 (Standardized):  NR (NR - NR) NR
SN1853,28520185,"2,3,4,5,6-Pentafluorobenzeneacetaldehyde",,Unmeasured,NR,Biomphalaria glabrata,Snail,Molluscs,Adult,NR,,Static,Fresh water,Lab,,Formulation,>,20,,,,,AI mg/L,Mortality,Mortality,LC50,,1,Day(s),,,,,,,--,,,,,,,,,,,,,,,"Duncan,J., and J.W. Pavlik",9662,Effects of Structural Rearrangement on the Molluscicidal Activity of Certain Fluorinated Aromatic Compounds,Bull. W. H. O.42(5): 820-825,1970,Purity:  NR - NR | Organism Age:  NR - NR NR | Duration (Days):  NR - NR Day(s) | Conc 2 (Standardized):  NR (NR - NR) NR | Conc 3 (Standardized):  NR (NR - NR) NR
SN1854,28523866,"1,1,1,3,3,3-Hexafluoro-2-(fluoromethoxy)propane",,Unmeasured,NR,Danio rerio,Zebra Danio,Fish,Larva,5,Days post fertilization,Static,Culture,Lab,9,Formulation,,48.113468,,33.7494472,,65.718396,AI mg/L,Behavior,Startle,EC50,,0.0208,Day(s),,,,,,,--,,,,,,,,,,,,,,,"Bedell,V.M., Q.C. Meng, M.A. Pack, and R.G. Eckenhoff",189334,A Vertebrate Model to Reveal Neural Substrates Underlying the Transitions Between Conscious and Unconscious States,Sci. Rep.10(1): 10 pg.,2020,Purity:  NR - NR | Organism Age:  NR - NR Days post fertilization | Duration (Days):  NR - NR Day(s) | Conc 2 (Standardized):  NR (NR - NR) NR | Conc 3 (Standardized):  NR (NR - NR) NR
SN1855,28523866,"1,1,1,3,3,3-Hexafluoro-2-(fluoromethoxy)propane",,Unmeasured,NR,Danio rerio,Zebra Danio,Fish,Larva,5,Days post fertilization,Static,Culture,Lab,9,Formulation,,15.1842504,,9.9227776,,22.7663728,AI mg/L,Behavior,"Distance moved, change in direct movement",EC50,,0.0208,Day(s),,,,,,,--,,,,,,,,,,,,,,,"Bedell,V.M., Q.C. Meng, M.A. Pack, and R.G. Eckenhoff",189334,A Vertebrate Model to Reveal Neural Substrates Underlying the Transitions Between Conscious and Unconscious States,Sci. Rep.10(1): 10 pg.,2020,Purity:  NR - NR | Organism Age:  NR - NR Days post fertilization | Duration (Days):  NR - NR Day(s) | Conc 2 (Standardized):  NR (NR - NR) NR | Conc 3 (Standardized):  NR (NR - NR) NR
SN1856,29081569,"1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,8-Heptadecafluoro-1-octanesulfonic acid ammonium salt",,Unmeasured,25,Pimephales promelas,Fathead Minnow,Fish,,NR,,Static,Fresh water,Lab,6,Formulation,,100,,,,,AI mg/L,Mortality,Mortality,LC50,,4,Day(s),,,,,,,--,,,,,,,,,,,,,,,3M Co.,181682,"Information on Perfluorooctane Sulfonates: Post-1975 Studies Pertaining to Environmental Effects, Fate & Transport, and Health Effects, W/Attchmnts & Cvr Ltr Dtd 050400",EPA/OTS:4651 p.,2000,Purity:  NR - NR | Organism Age:  NR - NR NR | Duration (Days):  NR - NR Day(s) | Conc 2 (Standardized):  NR (NR - NR) NR | Conc 3 (Standardized):  NR (NR - NR) NR
SN1857,29081569,"1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,8-Heptadecafluoro-1-octanesulfonic acid ammonium salt",,Unmeasured,25,Pimephales promelas,Fathead Minnow,Fish,,NR,,Static,Fresh water,Lab,6,Formulation,,85,,,,,AI mg/L,Mortality,Mortality,LC50,,4,Day(s),,,,,,,--,,,,,,,,,,,,,,,3M Co.,181682,"Information on Perfluorooctane Sulfonates: Post-1975 Studies Pertaining to Environmental Effects, Fate & Transport, and Health Effects, W/Attchmnts & Cvr Ltr Dtd 050400",EPA/OTS:4651 p.,2000,Purity:  NR - NR | Organism Age:  NR - NR NR | Duration (Days):  NR - NR Day(s) | Conc 2 (Standardized):  NR (NR - NR) NR | Conc 3 (Standardized):  NR (NR - NR) NR
SN1858,29420493,"1,1,2,2,3,3,4,4,4-Nonafluoro-1-butanesulfonic acid potassium salt (1:1)",,Unmeasured,>=95,Raphidocelis subcapitata,Green Algae,Algae,Exponential growth phase (log),NR,,Static,Fresh water,Lab,Jun-13,Active ingredient,,299,,117,,767,AI mg/L,Population,Population growth rate,EC10,,2,Day(s),,,,,,,--,,,,,,,,,,,,,,,"Kusk,K.O., A.M. Christensen, and N. Nyholm",180320,Algal Growth Inhibition Test Results of 425 Organic Chemical Substances,Chemosphere204:405-412,2018,Purity:  NR - NR | Organism Age:  NR - NR NR | Duration (Days):  NR - NR Day(s) | Conc 2 (Standardized):  NR (NR - NR) NR | Conc 3 (Standardized):  NR (NR - NR) NR
SN1859,29420493,"1,1,2,2,3,3,4,4,4-Nonafluoro-1-butanesulfonic acid potassium salt (1:1)",,Unmeasured,>98,Scenedesmus acutus var. acutus,Green Algae,Algae,Exponential growth phase (log),NR,,Static,Culture,Lab,5,Active ingredient,>,1800,,,,,AI mg/L,Population,Biomass,EC50,,7,Day(s),,,,,,,--,,,,,,,,,,,,,,,"Xue,X.Y., N. Gao, and F.L. Xu",190156,"Toxicity of Perfluorooctane Sulfonate (PFOS) and Perfluorobutane Sulfonate (PFBS) to Scenedesmus obliquus: Photosynthetic Characteristics, Oxidative Damage and Transcriptome Analysis",Environ. Pollut.315:11 p.,2022,Purity:  NR - NR | Organism Age:  NR - NR NR | Duration (Days):  NR - NR Day(s) | Conc 2 (Standardized):  NR (NR - NR) NR | Conc 3 (Standardized):  NR (NR - NR) NR
SN1860,29420493,"1,1,2,2,3,3,4,4,4-Nonafluoro-1-butanesulfonic acid potassium salt (1:1)",,Unmeasured,>=95,Raphidocelis subcapitata,Green Algae,Algae,Exponential growth phase (log),NR,,Static,Fresh water,Lab,Jun-13,Active ingredient,>,1000,,,,,AI mg/L,Population,Population growth rate,EC50,,2,Day(s),,,,,,,--,,,,,,,,,,,,,,,"Kusk,K.O., A.M. Christensen, and N. Nyholm",180320,Algal Growth Inhibition Test Results of 425 Organic Chemical Substances,Chemosphere204:405-412,2018,Purity:  NR - NR | Organism Age:  NR - NR NR | Duration (Days):  NR - NR Day(s) | Conc 2 (Standardized):  NR (NR - NR) NR | Conc 3 (Standardized):  NR (NR - NR) NR
SN1861,29420493,"1,1,2,2,3,3,4,4,4-Nonafluoro-1-butanesulfonic acid potassium salt (1:1)",,Measured,97.3,Selenastrum capricornutum,Green Algae,Algae,Exponential growth phase (log),NR,,Static,Fresh water,Lab,7,Active ingredient,<,285,,,,,AI mg/L,Population,Abundance,EC10,,3,Day(s),,,,,,,--,,,,,,,,,,,,,,,Wildlife International Ltd.,185468,PFBS: A 96-Hour Static Acute Toxicity Test with the Freshwater Alga (Selenastrum capricornutum),"Wildlife International Ltd., Project No. 454A-129:57",2001,Purity:  NR - NR | Organism Age:  NR - NR NR | Duration (Days):  NR - NR Day(s) | Conc 2 (Standardized):  NR (NR - NR) NR | Conc 3 (Standardized):  NR (NR - NR) NR
SN1862,29420493,"1,1,2,2,3,3,4,4,4-Nonafluoro-1-butanesulfonic acid potassium salt (1:1)",,Measured,97.3,Selenastrum capricornutum,Green Algae,Algae,Exponential growth phase (log),NR,,Static,Fresh water,Lab,7,Active ingredient,,528,,375,,1895,AI mg/L,Population,Abundance,EC10,,4,Day(s),,,,,,,--,,,,,,,,,,,,,,,Wildlife International Ltd.,185468,PFBS: A 96-Hour Static Acute Toxicity Test with the Freshwater Alga (Selenastrum capricornutum),"Wildlife International Ltd., Project No. 454A-129:57",2001,Purity:  NR - NR | Organism Age:  NR - NR NR | Duration (Days):  NR - NR Day(s) | Conc 2 (Standardized):  NR (NR - NR) NR | Conc 3 (Standardized):  NR (NR - NR) NR
SN1863,29420493,"1,1,2,2,3,3,4,4,4-Nonafluoro-1-butanesulfonic acid potassium salt (1:1)",,Measured,97.3,Selenastrum capricornutum,Green Algae,Algae,Exponential growth phase (log),NR,,Static,Fresh water,Lab,7,Active ingredient,,1674,,1482,,1839,AI mg/L,Population,Population growth rate,EC10,,4,Day(s),,,,,,,--,,,,,,,,,,,,,,,Wildlife International Ltd.,185468,PFBS: A 96-Hour Static Acute Toxicity Test with the Freshwater Alga (Selenastrum capricornutum),"Wildlife International Ltd., Project No. 454A-129:57",2001,Purity:  NR - NR | Organism Age:  NR - NR NR | Duration (Days):  NR - NR Day(s) | Conc 2 (Standardized):  NR (NR - NR) NR | Conc 3 (Standardized):  NR (NR - NR) NR
SN1864,29420493,"1,1,2,2,3,3,4,4,4-Nonafluoro-1-butanesulfonic acid potassium salt (1:1)",,Measured,97.3,Selenastrum capricornutum,Green Algae,Algae,Exponential growth phase (log),NR,,Static,Fresh water,Lab,7,Active ingredient,<,285,,,,,AI mg/L,Population,Abundance,EC10,,3,Day(s),,,,,,,--,,,,,,,,,,,,,,,Wildlife International Ltd.,185468,PFBS: A 96-Hour Static Acute Toxicity Test with the Freshwater Alga (Selenastrum capricornutum),"Wildlife International Ltd., Project No. 454A-129:57",2001,Purity:  NR - NR | Organism Age:  NR - NR NR | Duration (Days):  NR - NR Day(s) | Conc 2 (Standardized):  NR (NR - NR) NR | Conc 3 (Standardized):  NR (NR - NR) NR
SN1865,29420493,"1,1,2,2,3,3,4,4,4-Nonafluoro-1-butanesulfonic acid potassium salt (1:1)",,Measured,97.3,Selenastrum capricornutum,Green Algae,Algae,Exponential growth phase (log),NR,,Static,Fresh water,Lab,7,Active ingredient,,385,,191,,951,AI mg/L,Population,Abundance,EC10,,4,Day(s),,,,,,,--,,,,,,,,,,,,,,,Wildlife International Ltd.,185468,PFBS: A 96-Hour Static Acute Toxicity Test with the Freshwater Alga (Selenastrum capricornutum),"Wildlife International Ltd., Project No. 454A-129:57",2001,Purity:  NR - NR | Organism Age:  NR - NR NR | Duration (Days):  NR - NR Day(s) | Conc 2 (Standardized):  NR (NR - NR) NR | Conc 3 (Standardized):  NR (NR - NR) NR
SN1866,29420493,"1,1,2,2,3,3,4,4,4-Nonafluoro-1-butanesulfonic acid potassium salt (1:1)",,Measured,97.3,Selenastrum capricornutum,Green Algae,Algae,Exponential growth phase (log),NR,,Static,Fresh water,Lab,7,Active ingredient,,734,<,0,,2207,AI mg/L,Population,Population growth rate,EC10,,3,Day(s),,,,,,,--,,,,,,,,,,,,,,,Wildlife International Ltd.,185468,PFBS: A 96-Hour Static Acute Toxicity Test with the Freshwater Alga (Selenastrum capricornutum),"Wildlife International Ltd., Project No. 454A-129:57",2001,Purity:  NR - NR | Organism Age:  NR - NR NR | Duration (Days):  NR - NR Day(s) | Conc 2 (Standardized):  NR (NR - NR) NR | Conc 3 (Standardized):  NR (NR - NR) NR
SN1867,29420493,"1,1,2,2,3,3,4,4,4-Nonafluoro-1-butanesulfonic acid potassium salt (1:1)",,Measured,97.3,Selenastrum capricornutum,Green Algae,Algae,Exponential growth phase (log),NR,,Static,Fresh water,Lab,7,Active ingredient,,1590,,328,,2373,AI mg/L,Population,Abundance,EC50,,3,Day(s),,,,,,,--,,,,,,,,,,,,,,,Wildlife International Ltd.,185468,PFBS: A 96-Hour Static Acute Toxicity Test with the Freshwater Alga (Selenastrum capricornutum),"Wildlife International Ltd., Project No. 454A-129:57",2001,Purity:  NR - NR | Organism Age:  NR - NR NR | Duration (Days):  NR - NR Day(s) | Conc 2 (Standardized):  NR (NR - NR) NR | Conc 3 (Standardized):  NR (NR - NR) NR
SN1868,29420493,"1,1,2,2,3,3,4,4,4-Nonafluoro-1-butanesulfonic acid potassium salt (1:1)",,Measured,97.3,Selenastrum capricornutum,Green Algae,Algae,Exponential growth phase (log),NR,,Static,Fresh water,Lab,7,Active ingredient,,2631,,1644,,3927,AI mg/L,Population,Abundance,EC50,,2,Day(s),,,,,,,--,,,,,,,,,,,,,,,Wildlife International Ltd.,185468,PFBS: A 96-Hour Static Acute Toxicity Test with the Freshwater Alga (Selenastrum capricornutum),"Wildlife International Ltd., Project No. 454A-129:57",2001,Purity:  NR - NR | Organism Age:  NR - NR NR | Duration (Days):  NR - NR Day(s) | Conc 2 (Standardized):  NR (NR - NR) NR | Conc 3 (Standardized):  NR (NR - NR) NR
SN1869,29420493,"1,1,2,2,3,3,4,4,4-Nonafluoro-1-butanesulfonic acid potassium salt (1:1)",,Measured,97.3,Selenastrum capricornutum,Green Algae,Algae,Exponential growth phase (log),NR,,Static,Fresh water,Lab,7,Active ingredient,,4366,<,0,,12305,AI mg/L,Population,Abundance,EC50,,1,Day(s),,,,,,,--,,,,,,,,,,,,,,,Wildlife International Ltd.,185468,PFBS: A 96-Hour Static Acute Toxicity Test with the Freshwater Alga (Selenastrum capricornutum),"Wildlife International Ltd., Project No. 454A-129:57",2001,Purity:  NR - NR | Organism Age:  NR - NR NR | Duration (Days):  NR - NR Day(s) | Conc 2 (Standardized):  NR (NR - NR) NR | Conc 3 (Standardized):  NR (NR - NR) NR
SN1870,29420493,"1,1,2,2,3,3,4,4,4-Nonafluoro-1-butanesulfonic acid potassium salt (1:1)",,Measured,97.3,Selenastrum capricornutum,Green Algae,Algae,Exponential growth phase (log),NR,,Static,Fresh water,Lab,7,Active ingredient,,2009,,24,,3992,AI mg/L,Population,Abundance,EC50,,2,Day(s),,,,,,,--,,,,,,,,,,,,,,,Wildlife International Ltd.,185468,PFBS: A 96-Hour Static Acute Toxicity Test with the Freshwater Alga (Selenastrum capricornutum),"Wildlife International Ltd., Project No. 454A-129:57",2001,Purity:  NR - NR | Organism Age:  NR - NR NR | Duration (Days):  NR - NR Day(s) | Conc 2 (Standardized):  NR (NR - NR) NR | Conc 3 (Standardized):  NR (NR - NR) NR
SN1871,29420493,"1,1,2,2,3,3,4,4,4-Nonafluoro-1-butanesulfonic acid potassium salt (1:1)",,Measured,97.3,Selenastrum capricornutum,Green Algae,Algae,Exponential growth phase (log),NR,,Static,Fresh water,Lab,7,Active ingredient,,2195,<,0,,8922,AI mg/L,Population,Population growth rate,EC50,,1,Day(s),,,,,,,--,,,,,,,,,,,,,,,Wildlife International Ltd.,185468,PFBS: A 96-Hour Static Acute Toxicity Test with the Freshwater Alga (Selenastrum capricornutum),"Wildlife International Ltd., Project No. 454A-129:57",2001,Purity:  NR - NR | Organism Age:  NR - NR NR | Duration (Days):  NR - NR Day(s) | Conc 2 (Standardized):  NR (NR - NR) NR | Conc 3 (Standardized):  NR (NR - NR) NR
